Composite Rank,Name,Position,Team (23-24),League (23-24),Birthdate,Age,Height (in),Weight (lbs),Games Played,Goals,Assists,Points,Points Per Game,Penalty Minutes,Plus-minus,Goals Against Average,Save Percentage,Wins,Losses,Ties,Shootouts,Saves,Goals Against,Draft Round,Draft Pick
1,Macklin Celebrini,F,Boston Univ.,NCAA,06/13/2006,18,72,190,38,32,32,64,1.68,18,25,,,,,,,,,1,1
3,Artyom Levshunov,D,Michigan State Univ.,NCAA,10/28/2005,18,74,209,38,9,26,35,0.92,44,27,,,,,,,,,1,2
13,Beckett Sennecke,F,Oshawa Generals,OHL,01/28/2006,18,74,181,63,27,41,68,1.08,67,33,,,,,,,,,1,3
4,Cayden Lindstrom,F,Medicine Hat Tigers,WHL,02/03/2006,18,76,216,32,27,19,46,1.44,66,12,,,,,,,,,1,4
2,Ivan Demidov,F,SKA-1946 St. Petersburg,MHL,12/10/2005,18,71,168,30,23,37,60,2,20,47,,,,,,,,,1,5
9,Tij Iginla,F,Kelowna Rockets,WHL,08/01/2006,17,72,185,64,47,37,84,1.31,35,17,,,,,,,,,1,6
14,Carter Yakemchuk,D,Calgary Hitmen,WHL,09/29/2005,18,75,194,66,30,41,71,1.08,120,-6,,,,,,,,,1,7
6,Berkly Catton,F,Spokane Chiefs,WHL,01/14/2006,18,71,163,68,54,62,116,1.71,41,15,,,,,,,,,1,8
8,Zayne Parekh,D,Saginaw Spirit,OHL,02/15/2006,18,72,181,66,33,63,96,1.45,64,39,,,,,,,,,1,9
10,Anton Silayev,D,Torpedo Nizhny Novgorod,KHL,4/11/2006,18,79,207,63,3,8,11,0.17,10,-9,,,,,,,,,1,10
7,Sam Dickinson,D,London Knights,OHL,06/07/2006,18,75,194,68,18,52,70,1.03,30,56,,,,,,,,,1,11
5,Zeev Buium,D,Univ. of Denver,NCAA,12/07/2005,18,72,183,42,11,39,50,1.19,20,33,,,,,,,,,1,12
22,Jett Luchanko,F,Guelph Storm,OHL,08/21/2006,17,71,183,68,20,54,74,1.09,36,-13,,,,,,,,,1,13
11,Konsta Helenius,F,Jukurit,Liiga,05/11/2006,18,71,181,51,14,22,36,0.71,10,-3,,,,,,,,,1,14
15,Michael Brandsegg-Nygard,F,Mora IK,HockeyAllsvenskan,10/05/2005,18,73,198,41,8,10,18,0.44,19,3,,,,,,,,,1,15
18,Adam Jiricek,D,HC Plzeň,Czechia,06/28/2006,18,74,168,19,0,1,1,0.05,2,-10,,,,,,,,,1,16
32,Terik Parascak,F,Prince George Cougars,WHL,05/28/2006,18,71,179,68,43,62,105,1.54,41,49,,,,,,,,,1,17
23,Sacha Boisvert,F,Muskegon Lumberjacks,USHL,03/17/2006,18,74,179,61,36,32,68,1.11,86,5,,,,,,,,,1,18
17,Trevor Connelly,F,Tri-City Storm,USHL,02/28/2006,18,73,161,52,31,47,78,1.5,88,1,,,,,,,,,1,19
12,Cole Eiserman,F,U.S. National U18 Team,NTDP,08/29/2006,17,72,196,57,58,31,89,1.56,34,23,,,,,,,,,1,20
20,Michael Hage,F,Chicago Steel,USHL,04/14/2006,18,73,190,54,33,42,75,1.39,53,17,,,,,,,,,1,21
34,Yegor Surin,F,multiple,MHL,08/01/2006,17,73,192,43,23,30,53,1.23,108,36,,,,,,,,,1,22
21,Stian Solberg,D,Vålerenga,Norway,12/29/2005,18,74,201,42,5,10,15,0.36,47,2,,,,,,,,,1,23
28,Cole Beaudoin,F,Barrie Colts,OHL,04/24/2006,18,74,201,67,28,34,62,0.93,27,2,,,,,,,,,1,24
46,Dean Letourneau,F,St. Andrew's College,U18 AAA,02/21/2006,18,79,209,56,61,66,127,2.27,74,,,,,,,,,,1,25
16,Liam Greentree,F,Windsor Spitfires,OHL,01/01/2006,18,74,198,64,36,54,90,1.41,33,-14,,,,,,,,,1,26
35,Marek Vanacker,F,Brantford Bulldogs,OHL,04/12/2006,18,72,165,68,36,46,82,1.21,55,7,,,,,,,,,1,27
37,Matvei Gridin,F,Muskegon Lumberjacks,USHL,03/01/2006,18,73,185,60,38,45,83,1.38,51,14,,,,,,,,,1,28
29,Emil Hemming,F,TPS,Liiga,06/27/2006,18,74,194,40,7,4,11,0.28,0,3,,,,,,,,,1,29
30,EJ Emery,D,U.S. National U18 Team,NTDP,03/30/2006,18,75,185,61,0,16,16,0.26,61,34,,,,,,,,,1,30
52,Ben Danford,D,Oshawa Generals,OHL,02/06/2006,18,72,176,64,1,32,33,0.52,25,27,,,,,,,,,1,31
44,Sam O'Reilly,F,London Knights,OHL,03/30/2006,18,73,176,68,20,36,56,0.82,34,32,,,,,,,,,1,32
19,Igor Chernyshov,F,Dynamo Moskva,KHL,11/30/2005,18,74,196,34,3,1,4,0.12,2,-3,,,,,,,,,2,33
33,Dominik Badinka,D,Malmö Redhawks,SHL,11/27/2005,18,75,190,33,1,3,4,0.12,6,-9,,,,,,,,,2,34
36,Lucas Pettersson,F,MoDo Hockey J20,J20 Nationell,04/17/2006,18,71,172,44,27,30,57,1.3,40,27,,,,,,,,,2,35
39,Charlie Elick,D,Brandon Wheat Kings,WHL,01/17/2006,18,75,198,65,4,23,27,0.42,71,4,,,,,,,,,2,36
26,Alfons Freij,D,Växjö Lakers HC J20,J20 Nationell,02/12/2006,18,73,196,40,14,19,33,0.83,14,0,,,,,,,,,2,37
90,Ilya Nabokov,G,Metallurg Magnitogorsk,KHL,03/27/2003,21,73,179,43,,,,,,,2.15,0.93,23,13,3,3,1055,80,2,38
108,Gabriel Eliasson,D,HV71 J20,J20 Nationell,09/09/2006,17,78,205,36,1,5,6,0.17,103,-3,,,,,,,,,2,39
41,Julius Miettinen,F,Everett Silvertips,WHL,01/20/2006,18,75,207,66,31,36,67,1.02,32,27,,,,,,,,,2,40
24,Andrew Basha,F,Medicine Hat Tigers,WHL,11/08/2005,18,72,185,63,30,55,85,1.35,48,6,,,,,,,,,2,41
54,Adam Kleber,D,Lincoln Stars,USHL,03/24/2006,18,77,209,56,5,21,26,0.46,26,-12,,,,,,,,,2,42
38,Cole Hutson,D,U.S. National U18 Team,NTDP,06/28/2006,18,70,159,51,15,36,51,1,52,22,,,,,,,,,2,43
49,Harrison Brunicke,D,Kamloops Blazers,WHL,05/08/2006,18,75,187,49,10,11,21,0.43,47,-12,,,,,,,,,2,44
31,Ryder Ritchie,F,Prince Albert Raiders,WHL,08/03/2006,17,72,174,47,19,25,44,0.94,24,-1,,,,,,,,,2,45
48,Tanner Howe,F,Regina Pats,WHL,11/28/2005,18,71,181,68,28,49,77,1.13,77,-11,,,,,,,,,2,46
74,Max Plante,F,U.S. National U18 Team,NTDP,02/20/2006,18,70,170,51,15,46,61,1.2,16,16,,,,,,,,,2,47
94,Colin Ralph,D,Shattuck St. Mary's 18U Prep,USHS Prep,10/04/2005,18,76,227,57,8,58,66,1.16,30,,,,,,,,,,2,48
88,Mikhail Yegorov,G,Omaha Lancers,USHL,03/07/2006,18,76,187,43,,,,,,,3.86,0.892,8,25,3,1,1126,136,2,49
25,Nikita Artamonov,F,Torpedo Nizhny Novgorod,KHL,11/17/2005,18,71,187,54,7,16,23,0.43,16,-6,,,,,,,,,2,50
84,Jack Berglund,F,Färjestad BK J20,J20 Nationell,04/10/2006,18,74,207,41,15,19,34,0.83,20,4,,,,,,,,,2,51
55,Leon Muggli,D,EV Zug,NL,07/09/2006,17,72,176,42,3,9,12,0.29,18,13,,,,,,,,,2,52
47,Leo Sahlin Wallenius,D,Växjö Lakers HC J20,J20 Nationell,04/10/2006,18,72,183,43,11,31,42,0.98,38,20,,,,,,,,,2,53
45,Jesse Pulkkinen,D,JYP,Liiga,12/27/2004,19,78,216,29,2,6,8,0.28,24,-1,,,,,,,,,2,54
27,Teddy Stiga,F,U.S. National U18 Team,NTDP,04/05/2006,18,70,176,61,36,43,79,1.3,42,47,,,,,,,,,2,55
82,Lukas Fischer,D,Sarnia Sting,OHL,09/09/2006,17,76,181,68,6,28,34,0.5,79,-27,,,,,,,,,2,56
64,Carter George,G,Owen Sound Attack,OHL,05/20/2006,18,73,185,56,,,,,,,3.3,0.907,23,21,6,4,1744,179,2,57
40,Linus Eriksson,F,Djurgårdens IF,HockeyAllsvenskan,03/23/2006,18,72,185,29,3,8,11,0.38,10,-1,,,,,,,,,2,58
67,Spencer Gill,D,Rimouski Océanic,QMJHL,08/17/2006,17,75,179,65,12,34,46,0.71,62,8,,,,,,,,,2,59
129,Evan Gardner,G,Saskatoon Blades,WHL,01/25/2006,18,74,174,30,,,,,,,1.91,0.927,21,5,0,4,671,53,2,60
58,Kamil Bednarik,F,U.S. National U18 Team,NTDP,05/26/2006,18,72,185,61,26,39,65,1.07,58,21,,,,,,,,,2,61
73,Jacob Battaglia,F,Kingston Frontenacs,OHL,03/17/2006,18,72,205,67,31,34,65,0.97,34,-15,,,,,,,,,2,62
91,Nathan Villeneuve,F,Sudbury Wolves,OHL,04/13/2006,18,72,183,56,23,27,50,0.89,58,10,,,,,,,,,2,63
78,Eemil Vinni,G,JoKP,Mestis,12/18/2005,18,74,185,37,,,,,,,2.72,0.892,17,9,10,2,797,97,2,64
